0,1
eventually,1631
became,1409
a,335772
for,86630
music,32825
but,84436
today,1021
the,638035
almost,7758
feels,6743
like,62996
listen,3315
to,248689
any,11279
of,362541
albums,7008
when,24117
genre,2465
was,34434
against,3695
its,37636
and,344127
think,4769
started,1581
few,10300
years,11133
at,43064
from,58893
right,5971
is,127630
part,6071
an,53660
that,137868
runs,1110
moment,4068
best,11954
it,86079
has,29107
far,5856
more,44599
than,28173
anything,4917
recorded,4734
in,163616
days,3071
record,17664
being,8019
scene,2685
he,38237
already,3678
looking,1733
his,68722
style,3477
name,4841
tension,1423
only,16512
obvious,2030
thing,6369
you,45397
two,14943
decades,1169
old,5502
rather,5883
saw,1117
voice,9016
as,101180
while,18046
into,34649
beats,4369
over,17020
this,52292
too,12752
were,14006
point,6445
movement,1032
they,34067
their,52923
nearly,3289
themselves,4015
process,1453
or,39528
maybe,3696
down,9244
statement,1280
with,110986
third,2498
album,35802
no,17014
last,9611
sort,4577
de,1201
where,13094
emotional,2287
set,6160
sense,7579
make,11760
hope,1465
all,33858
way,14876
here,15601
nothing,4922
got,5508
be,41528
take,7608
force,1390
what,19577
provides,1113
instead,5305
stop,1295
closing,1254
lyrics,7355
atmosphere,1398
on,113179
own,12112
sex,1186
four,4365
focus,2010
relationship,1211
left,3596
break,1922
off,11796
singing,3386
theme,1601
guest,1337
vocalist,1253
somewhere,1712
stand,1497
someone,2963
feel,7945
same,10116
about,24021
want,4515
me,11374
party,1749
time,17362
we,10080
know,6614
moments,5629
come,7186
who,16504
long,7393
before,9979
even,23883
released,5073
first,17763
him,8481
three,6366
are,47387
songs,26655
loose,1340
single,5540
my,14082
after,11613
vision,1258
beauty,1342
bring,1510
dark,2938
every,7999
man,4206
track,15591
then,10121
next,4349
john,2826
standard,1031
had,11011
previously,1192
sounds,16705
less,7767
heard,3662
through,14469
other,12935
outside,2017
singer,2991
songwriter,1090
her,19920
personal,2093
serves,1098
production,4822
around,8882
most,26478
words,3453
lead,2744
beat,4698
some,21757
beautiful,1915
she,10687
song,20053
by,41726
both,9802
wanted,1144
worked,1354
day,3495
working,2364
performance,1836
so,27464
uk,1395
top,1979
hit,2876
late,2581
release,5905
back,10952
months,1236
because,7438
tracks,15216
them,15171
apart,1385
until,3497
sure,3018
reverb,1002
vocals,8591
sound,22835
hear,5520
bassline,1024
also,13436
creative,1359
created,1009
between,11811
following,1776
collaboration,1419
began,1261
producer,2928
known,2003
early,6335
rest,2852
band,22978
not,33116
despite,3750
one,32845
dub,1101
punk,3183
r,3135
b,2806
together,5678
synths,2356
will,9604
night,2614
led,1030
ever,6275
latter,1845
territory,1204
build,1280
never,11421
another,7568
seven,1338
show,3598
been,16475
spirit,1458
ep,4309
side,3494
does,6805
have,30741
background,1806
art,2812
recording,3243
took,1928
always,7296
said,3259
good,9993
fucking,1063
project,3374
if,24400
bit,5911
different,4537
would,12125
whatever,1622
wants,1252
rarely,1597
which,24965
just,24669
still,15204
hard,5829
onto,1414
can,19898
romantic,1214
james,1648
young,3886
stands,1112
built,2061
enough,7972
playing,4408
eight,1162
five,2742
new,18984
since,6915
up,26693
black,5578
metal,3594
line,5097
pace,1153
taking,2287
great,6345
care,1044
balance,1051
riffs,2089
vocal,6223
surprise,1265
pair,1088
machine,1766
once,5202
upon,2057
summer,1386
may,6601
seem,5550
much,17879
minutes,5870
lp,2689
similarly,1555
dense,1109
fans,3585
familiar,2667
epic,1366
lyrical,1939
references,1048
contrast,1224
everything,4083
title,7111
age,2127
original,3814
power,3118
odd,1509
considering,1115
second,5475
usually,1611
out,31529
across,3051
these,19028
stage,1588
control,1085
death,3167
without,7759
usual,1177
room,2684
itself,4252
catalog,1167
relatively,1212
little,11130
alongside,1097
could,12911
compositions,1341
club,1878
year,5169
human,1839
tape,1728
mean,1745
underground,1742
quickly,1553
presence,1262
well,9747
such,8306
british,1447
must,1451
people,6230
final,2449
plays,2509
pretty,5240
catchy,1421
rock,12294
particularly,2371
men,1006
era,1608
bands,5253
share,1149
guitar,16096
cut,2629
drums,4731
many,9007
starts,1869
possible,1442
near,1195
end,6411
reference,1127
points,1610
past,5885
clearly,1786
decade,2367
do,10265
hits,2231
school,1504
love,8987
