reviewid,pub_year,genre,score
22703,2017,electronic,9.3
22721,2017,metal,7.9
22659,2017,rock,7.3
22661,2017,rock,9.0
22725,2017,electronic,8.1
22722,2017,,7.4
22704,2017,rap,7.1
22694,2017,electronic,7.0
22714,2017,experimental,7.7
22724,2017,rap,5.3
22715,2017,experimental,8.0
22745,2017,rap,8.6
22700,2017,electronic,7.6
22720,2017,rap,3.5
22699,2017,rap,7.4
22665,2017,,6.6
22666,2017,experimental,7.4
22719,2016,pop/r&b,8.1
22719,2016,rap,8.1
22667,2016,experimental,7.2
22691,2016,pop/r&b,7.0
22691,2016,rap,7.0
22702,2016,metal,7.5
22718,2016,rock,6.3
22706,2016,experimental,7.8
22695,2016,experimental,6.5
22695,2016,rock,6.5
22713,2016,electronic,7.3
22705,2016,folk/country,6.8
22532,2016,rock,8.2
22701,2016,electronic,6.8
22707,2016,jazz,9.0
22708,2016,rap,4.4
22559,2016,metal,7.7
22692,2016,rap,7.6
22677,2016,experimental,7.1
22469,2016,rap,6.7
22469,2016,rock,6.7
22711,2016,rap,7.2
22678,2016,rap,5.0
22664,2016,jazz,8.0
22685,2016,electronic,6.4
22685,2016,rap,6.4
22690,2016,,7.7
22689,2016,rap,6.4
22697,2016,,7.1
22681,2016,electronic,5.9
22698,2016,pop/r&b,6.5
22684,2016,experimental,6.7
22693,2016,experimental,7.5
22686,2016,rap,4.5
22643,2016,rock,9.3
22640,2016,electronic,7.0
22688,2016,electronic,7.1
22696,2016,rap,6.7
22663,2016,rock,8.8
22687,2016,electronic,6.6
22662,2016,global,7.4
22317,2016,rock,8.0
22673,2016,,4.8
22655,2016,rap,7.0
22593,2016,,8.4
22627,2016,electronic,6.8
22627,2016,rock,6.8
22555,2016,electronic,9.5
22682,2016,rap,7.8
22679,2016,global,8.0
22657,2016,electronic,7.5
22654,2016,rock,6.7
22631,2016,rock,8.3
22683,2016,electronic,7.0
22635,2016,experimental,7.8
22653,2016,rock,6.9
22672,2016,rap,6.8
22536,2016,electronic,7.4
22676,2016,pop/r&b,6.3
22671,2016,rap,7.2
22675,2016,rap,6.4
22680,2016,folk/country,7.8
22641,2016,pop/r&b,6.6
22645,2016,pop/r&b,7.0
22393,2016,experimental,6.8
22393,2016,rock,6.8
22660,2016,electronic,5.2
22660,2016,jazz,5.2
22553,2016,pop/r&b,6.9
22553,2016,rock,6.9
22626,2016,rock,8.5
22639,2016,jazz,8.7
22658,2016,rock,6.9
22638,2016,experimental,7.7
22656,2016,electronic,7.5
22669,2016,rock,8.4
22634,2016,pop/r&b,6.2
22632,2016,electronic,7.4
22652,2016,jazz,7.0
22674,2016,electronic,6.9
22674,2016,experimental,6.9
22670,2016,rap,7.2
22646,2016,rock,7.2
22535,2016,electronic,8.0
22668,2016,pop/r&b,6.7
22650,2016,,6.2
22651,2016,electronic,6.5
22596,2016,experimental,7.2
22644,2016,electronic,5.2
22649,2016,electronic,8.2
22583,2016,electronic,6.5
22595,2016,pop/r&b,6.5
22467,2016,pop/r&b,8.5
22613,2016,rap,6.8
22620,2016,experimental,8.1
22633,2016,pop/r&b,7.2
22597,2016,electronic,7.4
22561,2016,rap,9.5
22648,2016,pop/r&b,8.0
22531,2016,experimental,7.8
22531,2016,rock,7.8
22533,2016,electronic,7.5
22637,2016,experimental,7.3
22647,2016,rap,6.9
22614,2016,rock,7.9
22622,2016,rock,8.0
22636,2016,rock,7.5
22629,2016,metal,6.5
22534,2016,electronic,8.0
22565,2016,rock,8.0
22395,2016,folk/country,7.3
22592,2016,electronic,8.2
22598,2016,rock,7.4
22628,2016,rock,6.6
22624,2016,rock,8.0
22619,2016,experimental,7.8
22619,2016,rock,7.8
22642,2016,rock,9.5
22603,2016,pop/r&b,7.8
22594,2016,,7.7
22630,2016,rock,7.4
22552,2016,electronic,6.5
22625,2016,rock,6.7
22618,2016,electronic,7.5
