reviewid,best_new_music,author,genre,label,score
22703,0,nate patrin,electronic,virgin,9.3
22721,0,zoe camp,metal,hathenter,7.9
22659,0,david glickman,rock,fashionable idiots,7.3
22659,0,david glickman,rock,static shock,7.3
22661,1,jenn pelly,rock,kill rock stars,9
22661,1,jenn pelly,rock,mississippi,9
22725,0,kevin lozano,electronic,teklife,8.1
22722,0,vanessa okoth-obbo,,rca,7.4
22704,0,katherine st. asaph,rap,age 101,7.1
22694,0,andy beta,electronic,stroboscopic artefacts,7
22714,0,andy beta,experimental,warp,7.7
22724,0,ian cohen,rap,roc nation,5.3
22715,0,marc masters,experimental,important,8
22745,1,sheldon pearce,rap,self-released,8.6
22700,0,thea ballard,electronic,pan,7.6
22720,0,marcus j. moore,rap,a country called earth,3.5
22720,0,marcus j. moore,rap,awge,3.5
22699,0,dean van nguyen,rap,babygrande,7.4
22665,0,louis pattison,,soul jazz,6.6
22666,0,philip sherburne,experimental,cejero,7.4
22719,0,sheldon pearce,pop/r&b,self-released,8.1
22719,0,sheldon pearce,rap,self-released,8.1
22667,0,benjamin scheim,experimental,leaving,7.2
22691,0,rebecca haithcoat,pop/r&b,radio killa,7
22691,0,rebecca haithcoat,rap,radio killa,7
22702,0,sam sodomsky,metal,profound lore,7.5
22718,0,benjamin scheim,rock,self-released,6.3
22706,0,seth colter walls,experimental,northern spy,7.8
22695,0,benjamin scheim,experimental,p.w. elverum & sun,6.5
22695,0,benjamin scheim,rock,p.w. elverum & sun,6.5
22713,0,brian howe,electronic,bedroom community,7.3
22705,0,marc hogan,folk/country,mercury,6.8
22532,0,quinn moreland,rock,polyvinyl,8.2
22701,0,andy beta,electronic,pan,6.8
22707,1,seth colter-walls,jazz,challenge,9
22708,0,sheldon pearce,rap,top dawg entertainment,4.4
22559,0,savy reyes-kulkarni,metal,rhino,7.7
22692,0,renato pagnani,rap,1017 brick squad,7.6
22677,0,kevin lozano,experimental,milan,7.1
22469,0,matthew strauss,rap,republic,6.7
22469,0,matthew strauss,rap,wicked awesome,6.7
22469,0,matthew strauss,rock,republic,6.7
22469,0,matthew strauss,rock,wicked awesome,6.7
22711,0,sheldon pearce,rap,don giovanni,7.2
22678,0,matthew strauss,rap,columbia,5
22664,0,philip sherburne,jazz,eremite,8
22685,0,andy beta,electronic,fool's gold,6.4
22685,0,andy beta,rap,fool's gold,6.4
22690,0,benjamin scheim,,brutal honest,7.7
22689,0,david turner,rap,brockhampton,6.4
22689,0,david turner,rap,empire,6.4
22697,0,thea ballard,,pan,7.1
22681,0,philip sherburne,electronic,mau5trap,5.9
22698,0,vanessa okoth-obbo,pop/r&b,hyperdub,6.5
22684,0,benjamin scheim,experimental,erased tapes,6.7
22693,0,seth colter walls,experimental,new amsterdam,7.5
22686,0,matthew ramirez,rap,republic,4.5
22643,0,jesse jarnow,rock,columbia legacy,9.3
22640,0,andrew gaerig,electronic,drumma,7
22688,0,louis pattison,electronic,numbers,7.1
22696,0,paul a. thompson,rap,dreamville,6.7
22696,0,paul a. thompson,rap,roc nation,6.7
22663,1,jesse jarnow,rock,legacy,8.8
22687,0,nathan reese,electronic,mom & pop,6.6
